NO,기존주소,도로명주소
145,서울특별시 용산구 이촌동 418,서울특별시 용산구 이촌로 174
146,서울특별시 강북구 수유동 730,서울특별시 강북구 한천로159길 8
147,서울특별시 중구 황학동 2545,서울특별시 중구 청계천로 400
148,서울특별시 성동구 금호동4가 1553,서울특별시 성동구 독서당로 344
149,서울특별시 성북구 돈암동 609-1,서울특별시 성북구 성북로4길 52
150,서울특별시 성북구 돈암동 609-1,서울특별시 성북구 성북로4길 52
151,서울특별시 성북구 보문동6가 458,서울특별시 성북구 보문사길 111
152,서울특별시 성북구 정릉동 1018,서울특별시 성북구 서경로 28
153,서울특별시 성동구 응봉동 15,서울특별시 성동구 고산자로 160
154,서울특별시 도봉구 쌍문동 56,서울특별시 도봉구 해등로 195
155,서울특별시 서초구 양재동 90,서울특별시 서초구 논현로27길 57
156,서울특별시 서초구 서초동 1648-2,서울특별시 서초구 사임당로19길 10
157,서울특별시 서초구 반포동 18-1,서울특별시 서초구 반포대로 275
158,서울특별시 영등포구 영등포동1가 Feb-94,서울특별시 영등포구 경인로 900
159,서울특별시 동작구 상도동 415,서울특별시 동작구 상도로 320
160,서울특별시 송파구 잠실동 44,서울특별시 송파구 잠실로 88
161,서울특별시 구로구 오류동 9-231,서울특별시 구로구 경인로 187
162,서울특별시 영등포구 대림동 946-1,서울특별시 영등포구 시흥대로187길 12
163,서울특별시 강남구 역삼동 754-1,서울특별시 강남구 언주로 332
164,서울특별시 강남구 청담동 69-18,서울특별시 강남구 학동로97길 31
165,서울특별시 금천구 독산동 1093-4,서울특별시 금천구 한내로 62
166,서울특별시 구로구 고척동 339,서울특별시 구로구 중앙로 121
167,서울특별시 강남구 대치동 1016-2,서울특별시 강남구 도곡로78길 13
168,서울특별시 송파구 잠실동 27,서울특별시 송파구 송파대로 567
169,서울특별시 관악구 신림동 1695,서울특별시 관악구 신원로 26
170,서울특별시 영등포구 신길동 4955,서울특별시 영등포구 가마산로 426
171,서울특별시 동작구 본동 481,서울특별시 동작구 매봉로 134
172,서울특별시 서초구 방배동 802-8,서울특별시 서초구 동광로28길 30
173,서울특별시 금천구 독산동 1093-4,서울특별시 금천구 한내로 62
174,서울특별시 동작구 노량진동 325,서울특별시 동작구 만양로 19
175,서울특별시 영등포구 여의도동 47,서울특별시 영등포구 여의동로3길 10
176,서울특별시 금천구 시흥동 1026,서울특별시 금천구 시흥대로 165
177,서울특별시 동작구 대방동 500,서울특별시 동작구 여의대방로44길 9
178,서울특별시 관악구 신림동 551-9,서울특별시 관악구 조원로13길 15
179,서울특별시 송파구 방이동 89,서울특별시 송파구 양재대로 1218
180,서울특별시 강동구 명일동 270,서울특별시 강동구 상암로 224
181,서울특별시 송파구 가락동 913,서울특별시 송파구 송파대로 345
182,서울특별시 강동구 명일동 15,서울특별시 강동구 고덕로 210
183,서울특별시 송파구 문정동 150,서울특별시 송파구 중대로 24
184,서울특별시 강동구 명일동 44,서울특별시 강동구 고덕로 240
185,서울특별시 송파구 문정동 150,서울특별시 송파구 중대로 24
186,서울특별시 송파구 문정동 150,서울특별시 송파구 중대로 24
187,서울특별시 강동구 명일동 44,서울특별시 강동구 고덕로 240
188,서울특별시 송파구 가락동 913,서울특별시 송파구 송파대로 345
189,서울특별시 송파구 가락동 120-4,서울특별시 송파구 중대로12길 35
190,서울특별시 송파구 가락동 913,서울특별시 송파구 송파대로 345
191,서울특별시 강동구 천호동 568,서울특별시 강동구 올림픽로89길 57
192,서울특별시 강동구 천호동 414,서울특별시 강동구 올림픽로70길 61
193,서울특별시 송파구 풍납동 400-5,서울특별시 송파구 강동대로9길 20
194,서울특별시 강동구 명일동 359,서울특별시 강동구 양재대로 1650
195,서울특별시 강동구 명일동 359,서울특별시 강동구 양재대로 1650
196,서울특별시 강동구 성내동 428-2,서울특별시 강동구 양재대로89길 16
197,서울특별시 강동구 상일동 490,서울특별시 강동구 상일로 74
198,서울특별시 송파구 장지동 879,서울특별시 송파구 위례광장로 163
199,서울특별시 중랑구 신내동 654,서울특별시 중랑구 신내로17길 41
200,서울특별시 도봉구 창동 316,서울특별시 도봉구 해등로12길 44
201,서울특별시 동대문구 답십리동 80,서울특별시 동대문구 전농로10길 20
202,서울특별시 강북구 미아동 4,서울특별시 강북구 오현로 56
203,서울특별시 성동구 하왕십리동 966-18,서울특별시 성동구 무학봉28길 5
204,서울특별시 도봉구 방학동 735,서울특별시 도봉구 도당로6길 14-5
205,서울특별시 동대문구 휘경동 336-32,서울특별시 동대문구 이문로 10
206,서울특별시 성동구 금호동4가 1507,서울특별시 성동구 매봉길 24
207,서울특별시 종로구 평창동 Jan-66,서울특별시 종로구 평창문화로 142
208,서울특별시 종로구 교북동 126,서울특별시 종로구 송월길 155
209,서울특별시 용산구 용산동5가 24-1,서울특별시 용산구 서빙고로 69
210,서울특별시 도봉구 방학동 690-3,서울특별시 도봉구 방학로6길 20-6
211,서울특별시 강북구 미아동 811,서울특별시 강북구 삼양로27길 95
212,서울특별시 성북구 하월곡동 226,서울특별시 성북구 월곡로14길 26
213,서울특별시 성북구 길음동 1279,서울특별시 성북구 길음로9길 40
214,서울특별시 동대문구 휘경동 336-32,서울특별시 동대문구 이문로 10
215,서울특별시 중랑구 묵동 381,서울특별시 중랑구 공릉로2라길 15
216,서울특별시 동대문구 장안동 329-3,서울특별시 동대문구 장안벚꽃로 167
217,서울특별시 도봉구 창동 661-55,서울특별시 도봉구 도봉로 504
218,서울특별시 성동구 옥수동 561,서울특별시 성동구 매봉길 15
219,서울특별시 중구 황학동 2545,서울특별시 중구 청계천로 400
220,서울특별시 성동구 하왕십리동 1066,서울특별시 성동구 무학로 33
221,서울특별시 성동구 하왕십리동 1066,서울특별시 성동구 무학로 33
222,서울특별시 중구 회현동1가 208,서울특별시 중구 소공로 35
223,서울특별시 노원구 상계동 624,서울특별시 노원구 동일로227길 86
224,서울특별시 은평구 녹번동 86-126,서울특별시 은평구 은평로21가길 6
225,서울특별시 은평구 수색동 417,서울특별시 은평구 수색로 300
226,서울특별시 은평구 수색동 417,서울특별시 은평구 수색로 300
227,서울특별시 강서구 마곡동 1467,서울특별시 강서구 양천로28길 29
228,서울특별시 서대문구 냉천동 261,서울특별시 서대문구 독립문로14길 33
229,서울특별시 노원구 공릉동 758,서울특별시 노원구 공릉로34길 86
230,서울특별시 노원구 공릉동 758,서울특별시 노원구 공릉로34길 86
231,서울특별시 노원구 상계동 626,서울특별시 노원구 동일로228길 23
232,서울특별시 노원구 중계동 366,서울특별시 노원구 중계로 184
233,서울특별시 노원구 중계동 363,서울특별시 노원구 한글비석로8길 20
234,서울특별시 노원구 중계동 366,서울특별시 노원구 중계로 184
235,서울특별시 은평구 대조동 05-11,서울특별시 은평구 통일로 741-1
236,서울특별시 노원구 하계동 284,서울특별시 노원구 공릉로 351
237,서울특별시 은평구 대조동 05-11,서울특별시 은평구 통일로 741-1
238,서울특별시 노원구 상계동 647,서울특별시 노원구 한글비석로 530
239,서울특별시 강서구 등촌동 707,서울특별시 강서구 공항대로43길 104
240,서울특별시 강서구 등촌동 687,서울특별시 강서구 강서로68길 36
241,서울특별시 강서구 등촌동 628-15,서울특별시 강서구 화곡로68길 33
242,서울특별시 서대문구 홍제동 459,서울특별시 서대문구 통일로34길 43
