no,address,latitude,longitude
81,서울특별시 강동구 고덕로 333,37.5561770852501,127.159176546352
82,서울특별시 강동구 고덕로 333,37.5561770852501,127.159176546352
83,서울특별시 강동구 고덕로 333,37.5561770852501,127.159176546352
84,서울특별시 송파구 양재대로 1218,37.5166909917264,127.137712375583
85,서울특별시 마포구 서강로3길 32,37.5500177865994,126.930854061378
86,서울특별시 마포구 마포대로 195,37.5524339233654,126.95422378666
87,서울특별시 강서구 수명로1길 16,37.5520478232459,126.822560908166
88,서울특별시 은평구 통일로 630,37.6028449679876,126.935955809882
89,서울특별시 마포구 마포대로 167,37.5502187192036,126.953735814082
90,서울특별시 노원구 동일로227길 86,37.6704100337173,127.052730034287
91,서울특별시 노원구 동일로227길 86,37.6704100337173,127.052730034287
92,서울특별시 노원구 동일로215길 23,37.6504272951639,127.059109039116
